date,datestr,ustar,eci
01oct1996,1996-10-01,5.3509736,
01jan1997,1997-01-01,5.3416958,
01apr1997,1997-04-01,5.3324094,
01jul1997,1997-07-01,5.3230805,
01oct1997,1997-10-01,5.3136902,
01jan1998,1998-01-01,5.3042221,
01apr1998,1998-04-01,5.2946639,
01jul1998,1998-07-01,5.2850008,
01oct1998,1998-10-01,5.2752328,
01jan1999,1999-01-01,5.2653632,
01apr1999,1999-04-01,5.2553945,
01jul1999,1999-07-01,5.2453337,
01oct1999,1999-10-01,5.2351847,
01jan2000,2000-01-01,5.2249479,
01apr2000,2000-04-01,5.214622,
01jul2000,2000-07-01,5.2042112,
01oct2000,2000-10-01,5.1937308,
01jan2001,2001-01-01,5.1831965,85
01apr2001,2001-04-01,5.1726136,85.800003
01jul2001,2001-07-01,5.161983,86.699997
01oct2001,2001-10-01,5.1513128,87.5
01jan2002,2002-01-01,5.1406155,88.199997
01apr2002,2002-04-01,5.1299052,89.099998
01jul2002,2002-07-01,5.1192088,89.599998
01oct2002,2002-10-01,5.1085615,90.199997
01jan2003,2003-01-01,5.09799,91.400002
01apr2003,2003-04-01,5.0875249,92.199997
01jul2003,2003-07-01,5.0772018,93.199997
01oct2003,2003-10-01,5.0670586,93.800003
01jan2004,2004-01-01,5.057126,94.900002
01apr2004,2004-04-01,5.0474324,95.800003
01jul2004,2004-07-01,5.0380082,96.699997
01oct2004,2004-10-01,5.0288787,97.300003
01jan2005,2005-01-01,5.0200758,98.199997
01apr2005,2005-04-01,5.0116372,98.800003
01jul2005,2005-07-01,5.0036545,99.5
01oct2005,2005-10-01,4.996717,100.2
01jan2006,2006-01-01,4.9870167,100.8
01apr2006,2006-04-01,4.9767346,101.6
01jul2006,2006-07-01,4.966011,102.5
01oct2006,2006-10-01,4.95504,103.3
01jan2007,2007-01-01,4.944047,103.9
01apr2007,2007-04-01,4.9332685,104.8
01jul2007,2007-07-01,4.922925,105.6
01oct2007,2007-10-01,4.9131942,106.5
01jan2008,2008-01-01,4.9120831,107.2
01apr2008,2008-04-01,4.960114,108
01jul2008,2008-07-01,4.9904795,108.6
01oct2008,2008-10-01,5.1046014,109.1
01jan2009,2009-01-01,5.2122922,109.3
01apr2009,2009-04-01,5.2831149,109.5
01jul2009,2009-07-01,5.395247,109.9
01oct2009,2009-10-01,5.5038991,110.4
01jan2010,2010-01-01,5.6480513,111.1
01apr2010,2010-04-01,5.690289,111.6
01jul2010,2010-07-01,5.7269673,112.1
01oct2010,2010-10-01,5.7709417,112.6
01jan2011,2011-01-01,5.8043442,113.3
01apr2011,2011-04-01,5.8225889,114.2
01jul2011,2011-07-01,5.830605,114.6
01oct2011,2011-10-01,5.8472033,115.1
01jan2012,2012-01-01,5.8150091,115.7
01apr2012,2012-04-01,5.7812624,116.3
01jul2012,2012-07-01,5.7124114,116.8
01oct2012,2012-10-01,5.656055,117.2
01jan2013,2013-01-01,5.5168967,117.9
01apr2013,2013-04-01,5.3705869,118.5
01jul2013,2013-07-01,5.2659869,119
01oct2013,2013-10-01,5.1509943,119.6
01jan2014,2014-01-01,5.0451102,119.9
01apr2014,2014-04-01,4.9566197,120.9
01jul2014,2014-07-01,4.8877573,121.7
01oct2014,2014-10-01,4.8388872,122.4
01jan2015,2015-01-01,4.8103943,123.2
01apr2015,2015-04-01,4.7826867,123.2
01jul2015,2015-07-01,4.7561951,124
01oct2015,2015-10-01,4.7313719,124.6
01jan2016,2016-01-01,4.7086911,125.3
01apr2016,2016-04-01,4.6886382,126.1
01jul2016,2016-07-01,4.6713228,126.7
01oct2016,2016-10-01,4.6565981,127.4
01jan2017,2017-01-01,4.6441631,128.2
01apr2017,2017-04-01,4.6336298,129
01jul2017,2017-07-01,4.6245809,130
01oct2017,2017-10-01,4.6165981,130.7
01jan2018,2018-01-01,4.6092892,131.8
01apr2018,2018-04-01,4.602304,132.7
01jul2018,2018-07-01,4.5953522,133.7
01oct2018,2018-10-01,4.5882139,134.60001
01jan2019,2019-01-01,4.5591068,135.5
01apr2019,2019-04-01,4.5480719,136.3
01jul2019,2019-07-01,4.5365181,137.3
01oct2019,2019-10-01,4.524682,138.2
01jan2020,2020-01-01,4.512876,139.3
01apr2020,2020-04-01,4.5014348,139.89999
01jul2020,2020-07-01,4.4906578,140.60001
01oct2020,2020-10-01,4.4807558,141.8
01jan2021,2021-01-01,4.4718332,143.2
01apr2021,2021-04-01,4.463892,144.2
01jul2021,2021-07-01,4.4568648,146.3
01oct2021,2021-10-01,4.4506512,148
01jan2022,2022-01-01,4.445137,150
01apr2022,2022-04-01,4.4402142,152.2
01jul2022,2022-07-01,4.4357839,153.8
01oct2022,2022-10-01,4.4317598,155.5
01jan2023,2023-01-01,4.4280639,157.3
01apr2023,2023-04-01,4.4246292,158.89999
