date,WGT_wr,WGT_or
01-Jan-1997,4.6520014,3.6367645
01-Feb-1997,4.6520014,4.4451761
01-Mar-1997,4.7291255,5.7569866
01-Apr-1997,5.0027466,2.9853005
01-May-1997,4.0827818,7.2318001
01-Jun-1997,5.1293292,4.2559614
01-Jul-1997,4.8790164,8.455739
01-Aug-1997,4.6520014,4.4850569
01-Sep-1997,4.8792677,4.8790164
01-Oct-1997,5.1293292,3.5716798
01-Nov-1997,4.6691542,6.7658601
01-Dec-1997,5.1293292,4.5462327
01-Jan-1998,4.8606434,3.6367645
01-Feb-1998,4.5465078,5.1293292
01-Mar-1998,4.8790121,4.5432849
01-Apr-1998,5.3069859,6.6322646
01-May-1998,5.4502835,5.8812184
01-Jun-1998,5.8648763,4.8790164
01-Jul-1998,5.4067221,5.8840513
01-Aug-1998,5.5755358,5.8268886
01-Sep-1998,5.125679,4.0821996
01-Oct-1998,5.1293292,5.1587348
01-Nov-1998,5.3109803,6.8851027
01-Dec-1998,5.2398462,7.2320704
01-Jan-1999,4.6520014,6.1873384
01-Feb-1999,5.3456464,5.4065604
01-Mar-1999,5.9423423,4.2559614
01-Apr-1999,4.9203925,6.0103908
01-May-1999,5.1293292,5.9719248
01-Jun-1999,5.1291428,4.2559614
01-Jul-1999,5.1293292,5.1293292
01-Aug-1999,5.0195618,3.6310251
01-Sep-1999,5.1293292,6.3914371
01-Oct-1999,5.7158413,4.3017373
01-Nov-1999,4.9190278,6.0624623
01-Dec-1999,4.8790164,4.6520014
01-Jan-2000,5.0010419,4.8790164
01-Feb-2000,5.2446461,4.6469765
01-Mar-2000,4.7664661,4.338037
01-Apr-2000,5.164422,6.0624623
01-May-2000,5.1293306,4.5610499
01-Jun-2000,5.5435886,5.4070835
01-Jul-2000,5.1293292,6.8992872
01-Aug-2000,5.4067221,4.6520014
01-Sep-2000,5.5727863,3.9220738
01-Oct-2000,5.5458131,5.9299731
01-Nov-2000,5.608726,6.0816712
01-Dec-2000,5.1767302,5.9898138
01-Jan-2001,5.1671996,5.9211826
01-Feb-2001,5.7158413,3.6366274
01-Mar-2001,5.1643209,5.1959753
01-Apr-2001,5.4724879,6.0363193
01-May-2001,4.8790188,6.6556239
01-Jun-2001,5.7158413,5.1293292
01-Jul-2001,5.2643733,6.4750853
01-Aug-2001,4.9595275,6.4538522
01-Sep-2001,4.9074311,4.0821133
01-Oct-2001,5.1293292,6.1087708
01-Nov-2001,5.1587348,3.9220712
01-Dec-2001,4.7790651,3.9233394
01-Jan-2002,4.7524877,6.8533177
01-Feb-2002,4.2562437,4.6520014
01-Mar-2002,3.9954338,5.556788
01-Apr-2002,4.3483601,2.9558821
01-May-2002,4.5120416,4.0821996
01-Jun-2002,4.3802652,4.8790145
01-Jul-2002,3.923991,3.389169
01-Aug-2002,4.2559614,3.890404
01-Sep-2002,3.6366274,3.923475
01-Oct-2002,3.636761,4.4451761
01-Nov-2002,3.0771658,3.6749482
01-Dec-2002,3.7740328,3.1245835
01-Jan-2003,3.9226024,4.4287705
01-Feb-2003,3.8277674,3.6367645
01-Mar-2003,3.174876,3.7740328
01-Apr-2003,3.5411978,3.7738853
01-May-2003,3.9220712,4.0821996
01-Jun-2003,3.6812644,2.7399013
01-Jul-2003,3.7271392,3.0771658
01-Aug-2003,3.5238552,2.9772153
01-Sep-2003,3.3896704,2.3361645
01-Oct-2003,3.571846,2.9766848
01-Nov-2003,3.0857773,2.9600503
01-Dec-2003,3.2789824,2.9207101
01-Jan-2004,3.6871896,2.5317783
01-Feb-2004,3.5065155,2.6717384
01-Mar-2004,2.9772151,3.5846133
01-Apr-2004,3.2448556,2.8710124
01-May-2004,3.5091319,4.0823026
01-Jun-2004,3.1052737,1.9802661
01-Jul-2004,3.7740328,3.1748717
01-Aug-2004,3.4486177,3.9258258
01-Sep-2004,3.8821988,4.4228067
01-Oct-2004,3.390152,3.5091319
01-Nov-2004,3.6203012,2.9558821
01-Dec-2004,2.955735,5.3474665
01-Jan-2005,3.9220712,3.6367645
01-Feb-2005,3.2789824,3.7740328
01-Mar-2005,3.7457561,2.8330507
01-Apr-2005,3.792918,2.23295
01-May-2005,3.7738853,0
01-Jun-2005,3.9782495,2.5135949
01-Jul-2005,4.0821972,3.9220712
01-Aug-2005,3.7045827,5.2770057
01-Sep-2005,3.6370168,3.5675623
01-Oct-2005,3.9445786,5.2668343
01-Nov-2005,4.0967441,5.8754358
01-Dec-2005,3.6582301,3.9223261
01-Jan-2006,3.9226077,4.879015
01-Feb-2006,3.3901551,3.1804769
01-Mar-2006,3.8935974,5.1291409
01-Apr-2006,4.0820704,2.8987536
01-May-2006,3.6366346,3.9220676
01-Jun-2006,3.5091319,5.7156405
01-Jul-2006,3.6179695,5.4067221
01-Aug-2006,4.0821996,3.9220707
01-Sep-2006,4.0820608,3.2794235
01-Oct-2006,3.6049886,2.8986609
01-Nov-2006,4.3802605,5.7158413
01-Dec-2006,3.9226024,3.9220712
01-Jan-2007,4.2761841,3.7738891
01-Feb-2007,3.8614862,4.4451761
01-Mar-2007,4.2559614,7.7972503
01-Apr-2007,4.0821996,2.7398975
01-May-2007,3.9226077,3.2541676
01-Jun-2007,3.9740329,3.9226024
01-Jul-2007,4.6520014,5.7158413
01-Aug-2007,4.2877026,3.7298672
01-Sep-2007,4.4320402,5.1300664
01-Oct-2007,4.2741137,2.6668248
01-Nov-2007,4.3567343,4.1964197
01-Dec-2007,4.0351338,3.636761
01-Jan-2008,3.4401395,3.2353635
01-Feb-2008,4.4155526,2.9857194
01-Mar-2008,3.9910505,6.8992872
01-Apr-2008,4.0821996,4.2559614
01-May-2008,4.0820608,5.347033
01-Jun-2008,3.9996662,5.4624667
01-Jul-2008,4.2006955,3.0178053
01-Aug-2008,3.6749482,5.038115
01-Sep-2008,3.9220712,3.0448627
01-Oct-2008,3.9220712,3.9220676
01-Nov-2008,3.5932033,4.2559614
01-Dec-2008,3.2788703,4.1330252
01-Jan-2009,3.1253374,3.923991
01-Feb-2009,3.050339,2.8198736
01-Mar-2009,3.2789824,1.257877
01-Apr-2009,2.9413857,3.4938018
01-May-2009,3.6366274,2.3809721
01-Jun-2009,2.4780056,2.1505325
01-Jul-2009,2.6022103,3.2789857
01-Aug-2009,1.2712058,1.3401433
01-Sep-2009,2.247287,3.0536768
01-Oct-2009,2.3810627,1.7094433
01-Nov-2009,1.9047406,2.8171723
01-Dec-2009,.63434464,1.7654883
01-Jan-2010,1.9048195,1.2422489
01-Feb-2010,2.2305737,0
01-Mar-2010,1.9172559,0
01-Apr-2010,1.45988,3.2789843
01-May-2010,1.1299555,1.720649
01-Jun-2010,2.0202708,2.1981907
01-Jul-2010,1.7916517,2.2403362
01-Aug-2010,1.9760301,2.1408391
01-Sep-2010,1.521463,3.0459228
01-Oct-2010,1.2584845,0
01-Nov-2010,1.7094433,1.1611151
01-Dec-2010,1.7815804,.60790461
01-Jan-2011,1.7465671,2.5316763
01-Feb-2011,2.0202034,0
01-Mar-2011,1.7391742,.6779713
01-Apr-2011,1.9939936,0
01-May-2011,2.021971,2.3256841
01-Jun-2011,1.8017771,1.653131
01-Jul-2011,1.6753167,3.0002174
01-Aug-2011,2.2804368,1.7493113
01-Sep-2011,1.6948873,.47506467
01-Oct-2011,1.8512971,3.7039852
01-Nov-2011,2.4692612,.76975739
01-Dec-2011,1.3543965,2.3530498
01-Jan-2012,2.1318073,1.9802608
01-Feb-2012,1.791332,2.0474808
01-Mar-2012,1.8027806,2.1978114
01-Apr-2012,2.439147,2.1530638
01-May-2012,2.0202034,0
01-Jun-2012,2.038995,3.3901551
01-Jul-2012,1.8279243,4.4700136
01-Aug-2012,1.652926,0
01-Sep-2012,2.5652392,2.7398975
01-Oct-2012,2.1394539,2.5166104
01-Nov-2012,2.105341,3.4884415
01-Dec-2012,2.5316837,2.139117
01-Jan-2013,2.0619287,.62959725
01-Feb-2013,2.2353251,3.3901551
01-Mar-2013,2.4695947,2.4508369
01-Apr-2013,1.9656634,1.4888616
01-May-2013,2.1779466,2.4692612
01-Jun-2013,2.2691436,.83636421
01-Jul-2013,2.2472856,3.0305321
01-Aug-2013,2.2676709,1.9802649
01-Sep-2013,2.0093038,1.2048384
01-Oct-2013,2.0202034,2.2059731
01-Nov-2013,1.980723,1.5113599
01-Dec-2013,2.5316763,1.9846259
01-Jan-2014,2.3255999,2.6154838
01-Feb-2014,2.2472856,1.9481148
01-Mar-2014,2.5037439,2.8987556
01-Apr-2014,1.7698894,3.9226024
01-May-2014,2.2215135,1.7544292
01-Jun-2014,2.020272,2.8987536
01-Jul-2014,2.164588,.68325979
01-Aug-2014,2.3530498,1.9802628
01-Sep-2014,3.5932033,0
01-Oct-2014,2.8170877,3.5716763
01-Nov-2014,2.8170877,2.2988653
01-Dec-2014,2.9423051,3.2788711
01-Jan-2015,3.1748698,3.6367645
01-Feb-2015,2.9766848,3.0771658
01-Mar-2015,3.7740328,2.8455377
01-Apr-2015,4.0817628,2.4097552
01-May-2015,2.4292734,4.0821996
01-Jun-2015,3.2888222,1.9802608
01-Jul-2015,2.8170111,3.4685557
01-Aug-2015,2.637677,2.0121403
01-Sep-2015,2.9500663,2.0332384
01-Oct-2015,2.4386864,2.9222829
01-Nov-2015,3.4809384,1.5339547
01-Dec-2015,2.8170877,3.9220712
01-Jan-2016,3.6367645,3.223413
01-Feb-2016,3.6679442,4.2559614
01-Mar-2016,3.0771658,3.7039852
01-Apr-2016,3.4581358,3.5093651
01-May-2016,3.8487136,4.4451761
01-Jun-2016,3.6367645,4.2559614
01-Jul-2016,3.1380162,3.333642
01-Aug-2016,3.5095577,2.6668248
01-Sep-2016,4.0818553,6.4538522
01-Oct-2016,4.0821996,5.0008478
01-Nov-2016,3.8383472,3.9226024
01-Dec-2016,2.9852962,3.5093615
01-Jan-2017,3.1747591,4.4450145
01-Feb-2017,3.7039852,3.9224277
01-Mar-2017,3.8226373,3.5591528
01-Apr-2017,3.390466,3.9220712
01-May-2017,3.2022469,4.0821996
01-Jun-2017,3.0771658,2.8987508
01-Jul-2017,3.2788758,4.2559614
01-Aug-2017,3.7729204,4.2559614
01-Sep-2017,3.9228222,0
01-Oct-2017,3.1747448,3.3901551
01-Nov-2017,3.1747591,4.0821996
01-Dec-2017,2.9413886,2.6668248
01-Jan-2018,3.3039885,3.1252549
01-Feb-2018,3.3901551,2.4691715
01-Mar-2018,4.2559614,4.6520014
01-Apr-2018,2.5975487,5.0587306
01-May-2018,2.9852962,4.2559614
01-Jun-2018,4.0820456,2.4635556
01-Jul-2018,3.6367645,2.8170877
01-Aug-2018,3.432471,2.8987536
01-Sep-2018,3.8027437,3.2260861
01-Oct-2018,4.2559614,3.7207623
01-Nov-2018,3.8208044,5.0100908
01-Dec-2018,3.3335304,3.9226024
01-Jan-2019,3.9875503,3.4444683
01-Feb-2019,3.0069654,4.7923985
01-Mar-2019,3.8103352,4.3483644
01-Apr-2019,3.7740328,8.0042706
01-May-2019,3.9008822,3.7740328
01-Jun-2019,4.2559614,5.1420937
01-Jul-2019,3.4508615,4.8137617
01-Aug-2019,2.9840868,3.1469524
01-Sep-2019,3.7740328,5.4070854
01-Oct-2019,3.2789824,4.8788319
01-Nov-2019,4.256587,3.3901589
01-Dec-2019,4.0005336,2.3530498
01-Jan-2020,4.0003886,4.6146588
01-Feb-2020,3.390466,3.0002222
01-Mar-2020,3.1049666,3.1503947
01-Apr-2020,3.2054026,2.597542
01-May-2020,4.0408058,5.2922401
01-Jun-2020,3.5398831,4.3485141
01-Jul-2020,3.3522692,2.4691715
01-Aug-2020,2.8987536,1.5418128
01-Sep-2020,4.0821996,2.5316763
01-Oct-2020,3.4963539,5.0985575
01-Nov-2020,3.7817454,2.1285746
01-Dec-2020,2.7631416,4.8790164
01-Jan-2021,3.2789824,4.0820704
01-Feb-2021,3.9226077,2.6868181
01-Mar-2021,3.1748698,2.3530498
01-Apr-2021,2.9766796,3.125953
01-May-2021,3.1748698,2.8820438
01-Jun-2021,3.7547038,2.0618496
01-Jul-2021,5.5059776,3.2788711
01-Aug-2021,4.0005336,2.9852962
01-Sep-2021,4.0821953,6.7384076
01-Oct-2021,4.0820704,5.5569849
01-Nov-2021,3.9220712,6.8992872
01-Dec-2021,4.9595327,6.1873384
01-Jan-2022,5.7158413,7.696104
01-Feb-2022,6.4538522,7.1458964
01-Mar-2022,5.4070854,6.8990326
01-Apr-2022,6.3626909,7.4107971
01-May-2022,6.8990326,8.1830902
01-Jun-2022,7.0617566,8.005022
01-Jul-2022,6.8376098,4.8790202
01-Aug-2022,6.4538522,6.0306587
01-Sep-2022,6.1875367,7.8553557
01-Oct-2022,6.4538522,5.4065332
01-Nov-2022,6.4536324,4.0827818
01-Dec-2022,5.4070854,6.8992872
01-Jan-2023,5.7158413,7.1458964
01-Feb-2023,6.2205248,6.4538522
01-Mar-2023,6.8992872,5.7158413
01-Apr-2023,5.4070854,6.4542837
01-May-2023,6.4542837,5.1291409
01-Jun-2023,4.9188399,7.8473692
01-Jul-2023,4.9595275,5.5275788
01-Aug-2023,5.1304932,3.9229515
01-Sep-2023,5.129581,4.9847789
